id,title,actor,writer,genre,country,director,rating,score,year,release,runtime
832,Tremors,Kevin Bacon,S.S. Wilson,Comedy,USA,Ron Underwood,PG-13,7.1,1990,1-19-1990,96
833,Brain Dead,Bill Pullman,Charles Beaumont,Horror,USA,Adam Simon,R,6.1,1990,1-19-1990,85
834,Streets,Christina Applegate,Andy Ruben,Action,USA,Katt Shea,R,6,1990,1-19-1990,100
835,Everybody Wins,Debra Winger,Arthur Miller,Drama,UK,Karel Reisz,R,5,1990,1-19-1990,97
836,Driving Miss Daisy,Morgan Freeman,Alfred Uhry,Drama,USA,Bruce Beresford,PG,7.4,1989,1-26-1990,99
837,Mortal Passions,Zach Galligan,Alan Moskowitz,Crime,USA,Andrew Lane,R,4.8,1989,1-26-1990,100
838,Strike It Rich,Robert Lindsay,Graham Greene,Comedy,UK,James Scott,PG,5.1,1990,1-26-1990,87
839,Heart Condition,Bob Hoskins,James D. Parriott,Comedy,USA,James D. Parriott,R,5.6,1990,2-2-1990,100
840,Flashback,Dennis Hopper,David Loughery,Action,USA,Franco Amurri,R,6.2,1990,2-2-1990,108
841,Stella,Bette Midler,Olive Higgins Prouty,Drama,USA,John Erman,PG-13,6,1990,2-2-1990,109
842,Time of the Gypsies,Davor Dujmovic,Emir Kusturica,Comedy,UK,Emir Kusturica,R,8.3,1988,2-9-1990,142
843,Torrents of Spring,Timothy Hutton,Jerzy Skolimowski,Drama,UK,Jerzy Skolimowski,PG-13,6,1989,2-9-1990,100
844,Hard to Kill,Steven Seagal,Steven McKay,Action,USA,Bruce Malmuth,R,5.7,1990,2-9-1990,96
845,Stanley & Iris,Jane Fonda,Pat Barker,Drama,USA,Martin Ritt,PG-13,6.3,1990,2-9-1990,104
846,Loose Cannons,Gene Hackman,Richard Christian Matheson,Action,USA,Bob Clark,R,4.8,1990,2-9-1990,94
847,The Haunting of Morella,Nicole Eggert,Edgar Allan Poe,Horror,USA,Jim Wynorski,R,3.9,1990,2-9-1990,82
848,Glory,Matthew Broderick,Kevin Jarre,Biography,USA,Edward Zwick,R,7.9,1989,2-16-1990,122
849,Nightbreed,Craig Sheffer,Clive Barker,Action,USA,Clive Barker,R,6.5,1990,2-16-1990,102
850,Revenge,Kevin Costner,Jim Harrison,Action,USA,Tony Scott,R,6.2,1990,2-16-1990,124
851,Madhouse,Richard Alexander,Tom Ropelewski,Comedy,USA,Tom Ropelewski,PG-13,5.3,1990,2-16-1990,90
852,Courage Mountain,Juliette Caton,Fred Brogger,Family,USA,Christopher Leitch,PG,5.8,1990,2-16-1990,100
853,Cinema Paradiso,Philippe Noiret,Giuseppe Tornatore,Drama,Italy,Giuseppe Tornatore,R,8.5,1988,2-23-1990,155
854,The Blood of Heroes,Rutger Hauer,David Webb Peoples,Action,Australia,David Webb Peoples,R,6.5,1989,2-23-1990,90
855,Mountains of the Moon,Patrick Bergin,William Harrison,Adventure,USA,Bob Rafelson,R,7.3,1990,2-23-1990,136
856,Men Don't Leave,Jessica Lange,Barbara Benedek,Drama,USA,Paul Brickman,PG-13,6.7,1990,2-23-1990,115
857,Where the Heart Is,Dabney Coleman,Telsche Boorman,Comedy,USA,John Boorman,R,6.2,1990,2-23-1990,107
858,Angel Town,Olivier Gruner,S. Warren,Action,USA,Eric Karson,R,5,1990,2-23-1990,102
859,The Hunt for Red October,Sean Connery,Tom Clancy,Action,USA,John McTiernan,PG,7.6,1990,3-2-1990,135
860,The Handmaid's Tale,Natasha Richardson,Margaret Atwood,Drama,USA,Volker Schlöndorff,R,6,1990,3-9-1990,109
861,Joe Versus the Volcano,Tom Hanks,John Patrick Shanley,Comedy,USA,John Patrick Shanley,PG,5.7,1990,3-9-1990,102
862,House Party,Christopher Reid,Reginald Hudlin,Comedy,USA,Reginald Hudlin,R,6.3,1990,3-9-1990,100
863,Bad Influence,Rob Lowe,David Koepp,Drama,USA,Curtis Hanson,R,6.2,1990,3-9-1990,99
864,Coupe de Ville,Patrick Dempsey,Mike Binder,Comedy,USA,Joe Roth,PG-13,6.7,1990,3-9-1990,99
865,Body Chemistry,Marc Singer,Jackson Barr,Drama,USA,Kristine Peterson,R,4.4,1990,3-9-1990,84
866,Love at Large,Tom Berenger,Alan Rudolph,Comedy,USA,Alan Rudolph,R,5.8,1990,3-9-1990,97
867,The Last of the Finest,Brian Dennehy,Jere Cunningham,Action,USA,John Mackenzie,R,5.7,1990,3-9-1990,106
868,Blue Steel,Jamie Lee Curtis,Kathryn Bigelow,Action,USA,Kathryn Bigelow,R,5.6,1989,3-16-1990,102
869,Blind Fury,Rutger Hauer,Ryôzô Kasahara,Action,USA,Phillip Noyce,R,6.3,1989,3-16-1990,86
870,Lord of the Flies,Balthazar Getty,William Golding,Adventure,USA,Harry Hook,R,6.4,1990,3-16-1990,90
871,Lambada,J. Eddie Peck,Joel Silberg,Drama,USA,Joel Silberg,PG,3.2,1990,3-16-1990,104
872,The Forbidden Dance,Laura Harring,Menahem Golan,Drama,USA,Greydon Clark,PG-13,3.4,1990,3-16-1990,97
873,Ultra Warrior,Dack Rambo,Len Jenkin,Action,Peru,Augusto Tamayo San Román,R,1.6,1990,3-16-1990,100
874,Pretty Woman,Richard Gere,J.F. Lawton,Comedy,USA,Garry Marshall,R,7,1990,3-23-1990,119
875,A Shock to the System,Michael Caine,Simon Brett,Comedy,USA,Jan Egleson,R,6.7,1990,3-23-1990,88
876,The Fourth War,Roy Scheider,Stephen Peters,Drama,USA,John Frankenheimer,R,5.7,1990,3-23-1990,91
877,How to Get Ahead in Advertising,Richard E. Grant,Bruce Robinson,Comedy,UK,Bruce Robinson,R,7,1989,3-29-1990,90
878,My Left Foot,Daniel Day-Lewis,Shane Connaughton,Biography,Ireland,Jim Sheridan,R,7.9,1989,3-30-1990,103
879,Teenage Mutant Ninja Turtles,Judith Hoag,Kevin Eastman,Action,USA,Steve Barron,PG,6.7,1990,3-30-1990,93
880,Side Out,C. Thomas Howell,David Thoreau,Comedy,USA,Peter Israelson,PG-13,5.5,1990,3-30-1990,100
881,Nuns on the Run,Eric Idle,Jonathan Lynn,Comedy,UK,Jonathan Lynn,PG-13,5.9,1990,3-30-1990,89
882,Opportunity Knocks,Dana Carvey,Mitchel Katlin,Comedy,USA,Donald Petrie,PG-13,6,1990,3-30-1990,103
883,A Tale of Springtime,Anne Teyssèdre,Éric Rohmer,Comedy,France,Éric Rohmer,PG,7.4,1990,4-4-1990,108
884,"The Cook, the Thief, His Wife & Her Lover",Richard Bohringer,Peter Greenaway,Crime,Netherlands,Peter Greenaway,NC-17,7.6,1989,4-6-1990,124
885,Cry-Baby,Johnny Depp,John Waters,Comedy,USA,John Waters,PG-13,6.5,1990,4-6-1990,85
886,I Love You to Death,Kevin Kline,John Kostmayer,Comedy,USA,Lawrence Kasdan,R,6.4,1990,4-6-1990,97
887,Ernest Goes to Jail,Jim Varney,Charlie Cohen,Comedy,USA,John R. Cherry III,PG,5.4,1990,4-6-1990,81
888,The First Power,Lou Diamond Phillips,Robert Resnikoff,Crime,USA,Robert Resnikoff,R,5.7,1990,4-6-1990,98
889,Impulse,Theresa Russell,John DeMarco,Crime,USA,Sondra Locke,R,5.7,1990,4-6-1990,109
890,Tie Me Up! Tie Me Down!,Victoria Abril,Pedro Almodóvar,Comedy,Spain,Pedro Almodóvar,NC-17,7,1989,4-12-1990,101
891,The Gods Must Be Crazy II,N!xau,Jamie Uys,Comedy,South Africa,Jamie Uys,PG,6.8,1989,4-13-1990,98
892,Crazy People,Dudley Moore,Mitch Markowitz,Comedy,USA,Tony Bill,R,5.9,1990,4-13-1990,90
893,Vital Signs,Adrian Pasdar,Larry Ketron,Drama,USA,Marisa Silver,R,5.4,1990,4-13-1990,100
894,Chattahoochee,Gary Oldman,James Cresson,Biography,USA,Mick Jackson,R,6.4,1989,4-20-1990,94
895,Martians Go Home,Randy Quaid,Fredric Brown,Comedy,USA,David Odell,PG-13,2.8,1989,4-20-1990,89
896,Miami Blues,Fred Ward,Charles Willeford,Comedy,USA,George Armitage,R,6.4,1990,4-20-1990,97
897,Wild Orchid,Mickey Rourke,Patricia Louisianna Knop,Drama,USA,Zalman King,R,4.5,1989,4-27-1990,105
898,The Guardian,Jenny Seagrove,Dan Greenburg,Drama,USA,William Friedkin,R,5.3,1990,4-27-1990,92
899,Q & A,Nick Nolte,Edwin Torres,Crime,USA,Sidney Lumet,R,6.5,1990,4-27-1990,132
900,Vincent & Theo,Tim Roth,Julian Mitchell,Biography,France,Robert Altman,PG-13,7.1,1990,4-27-1990,133
901,Spaced Invaders,Douglas Barr,Patrick Read Johnson,Adventure,USA,Patrick Read Johnson,PG,5.3,1990,4-27-1990,100
902,Longtime Companion,Stephen Caffrey,Craig Lucas,Drama,USA,Norman René,R,7.5,1989,5-1-1990,96
903,Last Exit to Brooklyn,Jennifer Jason Leigh,Hubert Selby Jr.,Drama,USA,Uli Edel,R,6.9,1989,5-4-1990,102
904,Tales from the Darkside: The Movie,Debbie Harry,Michael McDowell,Comedy,USA,John Harrison,R,6.2,1990,5-4-1990,93
905,Short Time,Dabney Coleman,John Blumenthal,Comedy,USA,Gregg Champion,PG-13,6.4,1990,5-4-1990,97
906,Daddy's Dyin'... Who's Got the Will?,Beau Bridges,Del Shores,Comedy,USA,Jack Fisk,PG-13,5.8,1990,5-4-1990,95
907,Class of 1999,Bradley Gregg,Mark L. Lester,Action,USA,Mark L. Lester,R,5.8,1990,5-11-1990,99
908,Def by Temptation,James Bond III,James Bond III,Horror,USA,James Bond III,R,4.4,1990,5-11-1990,95
909,A Show of Force,Amy Irving,Anne Nelson,Drama,USA,Bruno Barreto,R,5.2,1990,5-11-1990,95
910,Strapless,Blair Brown,David Hare,Drama,UK,David Hare,R,5.8,1989,5-18-1990,100
911,Bird on a Wire,Mel Gibson,Louis Venosta,Action,USA,John Badham,PG-13,5.9,1990,5-18-1990,110
912,Cadillac Man,Robin Williams,Ken Friedman,Comedy,USA,Roger Donaldson,R,5.6,1990,5-18-1990,97
913,Jesus of Montreal,Lothaire Bluteau,Denys Arcand,Drama,Canada,Denys Arcand,R,7.5,1989,5-25-1990,118
914,Back to the Future Part III,Michael J. Fox,Robert Zemeckis,Adventure,USA,Robert Zemeckis,PG,7.4,1990,5-25-1990,118
915,Fire Birds,Nicolas Cage,Step Tyner,Action,USA,David Green,PG-13,4.7,1990,5-25-1990,85
916,El vengador del futuro,Arnold Schwarzenegger,Philip K. Dick,Action,USA,Paul Verhoeven,R,7.5,1990,6-1-1990,113
917,Frankenhooker,James Lorinz,Robert Martin,Comedy,USA,Frank Henenlotter,R,6.1,1990,6-1-1990,85
918,A Cry in the Wild,Jared Rushton,Gary Paulsen,Action,USA,Mark Griffiths,PG,5.4,1990,6-1-1990,82
919,How to Make Love to a Negro Without Getting Tired,Isaach De Bankolé,Dany Laferrière,Comedy,Canada,Jacques W. Benoit,Not specified,4.6,1989,6-8-1990,100
920,Another 48 Hrs.,Eddie Murphy,Roger Spottiswoode,Action,USA,Walter Hill,R,5.8,1990,6-8-1990,93
921,Dick Tracy,Warren Beatty,Chester Gould,Action,USA,Warren Beatty,PG,6.1,1990,6-15-1990,105
922,Gremlins 2: The New Batch,Zach Galligan,Chris Columbus,Comedy,USA,Joe Dante,PG-13,6.3,1990,6-15-1990,106
923,RoboCop 2,Peter Weller,Edward Neumeier,Action,USA,Irvin Kershner,R,5.8,1990,6-22-1990,117
924,Betsy's Wedding,Alan Alda,Alan Alda,Comedy,USA,Alan Alda,R,5.6,1990,6-22-1990,94
925,Days of Thunder,Tom Cruise,Robert Towne,Action,USA,Tony Scott,PG-13,5.9,1990,6-27-1990,107
926,Ghost Dad,Bill Cosby,Brent Maddock,Comedy,USA,Sidney Poitier,PG,4.3,1990,6-29-1990,83
927,Die Hard 2,Bruce Willis,Walter Wager,Action,USA,Renny Harlin,R,7.1,1990,7-4-1990,124
928,Jetsons: The Movie,George O'Hanlon,Dennis Marks,Animation,USA,Joseph Barbera,G,5.5,1990,7-6-1990,82
929,The Adventures of Ford Fairlane,Andrew Dice Clay,Daniel Waters,Action,USA,Renny Harlin,R,6.3,1990,7-11-1990,104
930,Ghost,Patrick Swayze,Bruce Joel Rubin,Drama,USA,Jerry Zucker,PG-13,7,1990,7-13-1990,127
931,Quick Change,Bill Murray,Jay Cronley,Comedy,USA,Howard Franklin,R,6.8,1990,7-13-1990,89
932,Arachnophobia,Jeff Daniels,Don Jakoby,Comedy,USA,Frank Marshall,PG-13,6.4,1990,7-18-1990,103
933,Navy Seals,Charlie Sheen,Chuck Pfarrer,Action,USA,Lewis Teague,R,5.5,1990,7-20-1990,113
934,Problem Child,Michael Oliver,Scott Alexander,Comedy,USA,Dennis Dugan,PG,5.3,1990,7-27-1990,81
935,Presumed Innocent,Harrison Ford,Scott Turow,Mystery,USA,Alan J. Pakula,R,6.9,1990,7-27-1990,127
936,The Freshman,Marlon Brando,Andrew Bergman,Comedy,USA,Andrew Bergman,PG,6.5,1990,7-27-1990,102
937,Chicago Joe and the Showgirl,Emily Lloyd,David Yallop,Crime,UK,Bernard Rose,R,4.9,1990,7-27-1990,103
938,Young Guns II,Emilio Estevez,John Fusco,Action,USA,Geoff Murphy,PG-13,6.5,1990,8-1-1990,104
939,DuckTales the Movie: Treasure of the Lost Lamp,Alan Young,Alan Burnett,Animation,France,Bob Hathcock,G,6.9,1990,8-3-1990,74
940,Mo' Better Blues,Denzel Washington,Spike Lee,Drama,USA,Spike Lee,R,6.6,1990,8-3-1990,129
941,Metropolitan,Carolyn Farina,Whit Stillman,Comedy,USA,Whit Stillman,PG-13,7.5,1990,8-3-1990,98
942,Flatliners,Kiefer Sutherland,Peter Filardi,Drama,USA,Joel Schumacher,R,6.6,1990,8-10-1990,115
943,Air America,Mel Gibson,Christopher Robbins,Action,USA,Roger Spottiswoode,R,5.7,1990,8-10-1990,113
944,The Two Jakes,Jack Nicholson,Robert Towne,Crime,USA,Jack Nicholson,R,6.1,1990,8-10-1990,137
945,Wild at Heart,Nicolas Cage,Barry Gifford,Comedy,USA,David Lynch,R,7.2,1990,8-17-1990,125
946,The Exorcist III,George C. Scott,William Peter Blatty,Drama,USA,William Peter Blatty,R,6.3,1990,8-17-1990,110
947,My Blue Heaven,Steve Martin,Nora Ephron,Comedy,USA,Herbert Ross,PG-13,6.2,1990,8-17-1990,97
948,Taking Care of Business,Jim Belushi,Jill Mazursky,Comedy,USA,Arthur Hiller,R,6.4,1990,8-17-1990,108
949,Pump Up the Volume,Christian Slater,Allan Moyle,Comedy,Canada,Allan Moyle,R,7.2,1990,8-22-1990,102
950,The Witches,Anjelica Huston,Roald Dahl,Adventure,UK,Nicolas Roeg,PG,6.8,1990,8-24-1990,91
951,Darkman,Liam Neeson,Sam Raimi,Action,USA,Sam Raimi,R,6.4,1990,8-24-1990,96
952,Dreams,Akira Terao,Akira Kurosawa,Drama,Japan,Akira Kurosawa,PG,7.8,1990,8-24-1990,119
953,Men at Work,Charlie Sheen,Emilio Estevez,Action,USA,Emilio Estevez,PG-13,5.9,1990,8-24-1990,98
954,Delta Force 2: The Colombian Connection,Chuck Norris,James Bruner,Action,USA,Aaron Norris,R,4.7,1990,8-24-1990,111
955,"After Dark, My Sweet",Jason Patric,Jim Thompson,Crime,USA,James Foley,R,6.6,1990,8-24-1990,114
956,The Lemon Sisters,Diane Keaton,Jeremy Pikser,Comedy,USA,Joyce Chopra,PG-13,4.9,1989,8-31-1990,93
957,The Shrimp on the Barbie,Cheech Marin,Grant Morris,Comedy,Australia,Michael Gottlieb,PG-13,5.6,1990,8-31-1990,90
958,Crossing the Line,Kenny Ireland,Don MacPherson,Crime,UK,David Leland,R,5.8,1990,8-31-1990,116
959,Archangel,Michael Gottli,John B. Harvie,Comedy,Canada,Guy Maddin,Not specified,6.8,1990,9-1-1990,90
960,Henry: Portrait of a Serial Killer,Michael Rooker,Richard Fire,Biography,USA,John McNaughton,UNRATED,7,1986,9-7-1990,83
961,Slumber Party Massacre III,Keely Christian,Catherine Cyran,Comedy,USA,Sally Mattison,R,4.4,1990,9-7-1990,87
962,State of Grace,Sean Penn,Dennis McIntyre,Action,UK,Phil Joanou,R,7.3,1990,9-14-1990,134
963,Hardware,Dylan McDermott,Steve MacManus,Sci-Fi,UK,Richard Stanley,R,5.9,1990,9-14-1990,94
964,Postcards from the Edge,Meryl Streep,Carrie Fisher,Comedy,USA,Mike Nichols,R,6.7,1990,9-14-1990,101
965,Death Warrant,Jean-Claude Van Damme,David S. Goyer,Action,Canada,Deran Sarafian,R,5.6,1990,9-14-1990,89
966,Repossessed,Leslie Nielsen,Bob Logan,Comedy,USA,Bob Logan,PG-13,4.8,1990,9-14-1990,80
967,White Hunter Black Heart,Clint Eastwood,Peter Viertel,Adventure,USA,Clint Eastwood,PG,6.7,1990,9-14-1990,112
968,An Angel at My Table,Kerry Fox,Janet Frame,Biography,New Zealand,Jane Campion,R,7.6,1990,9-20-1990,158
969,The Tall Guy,Jeff Goldblum,Richard Curtis,Comedy,UK,Mel Smith,R,6.2,1989,9-21-1990,92
970,Bye Bye Blues,Rebecca Jenkins,Anne Wheeler,Drama,Canada,Anne Wheeler,PG,7.2,1989,9-21-1990,117
971,Goodfellas,Robert De Niro,Nicholas Pileggi,Crime,USA,Martin Scorsese,R,8.7,1990,9-21-1990,146
972,Narrow Margin,Gene Hackman,Peter Hyams,Action,USA,Peter Hyams,R,6.6,1990,9-21-1990,97
973,The Boyfriend School,Steve Guttenberg,Sarah Bird,Comedy,UK,Malcolm Mowbray,PG-13,5.9,1990,9-21-1990,100
974,Funny About Love,Gene Wilder,Bob Greene,Comedy,USA,Leonard Nimoy,PG-13,4.9,1990,9-21-1990,101
975,El verdugo de Nueva York,Christopher Walken,Nicholas St. John,Crime,Italy,Abel Ferrara,R,7,1990,9-28-1990,103
976,Pacific Heights,Melanie Griffith,Daniel Pyne,Thriller,USA,John Schlesinger,R,6.4,1990,9-28-1990,102
977,Dark Angel,Dolph Lundgren,Jonathan Tydor,Action,USA,Craig R. Baxley,R,6,1990,9-28-1990,91
978,Texasville,Jeff Bridges,Larry McMurtry,Drama,USA,Peter Bogdanovich,R,6,1990,9-28-1990,123
979,The Hairdresser's Husband,Jean Rochefort,Claude Klotz,Comedy,France,Patrice Leconte,R,7.4,1990,10-3-1990,82
980,Miller's Crossing,Gabriel Byrne,Joel Coen,Crime,USA,Joel Coen,R,7.8,1990,10-5-1990,115
981,Henry & June,Fred Ward,Anaïs Nin,Biography,USA,Philip Kaufman,NC-17,6.3,1990,10-5-1990,136
982,Marked for Death,Steven Seagal,Michael Grais,Action,USA,Dwight H. Little,R,5.9,1990,10-5-1990,93
983,Desperate Hours,Mickey Rourke,Joseph Hayes,Action,USA,Michael Cimino,R,5.4,1990,10-5-1990,105
984,Memphis Belle,Matthew Modine,Monte Merrick,Action,UK,Michael Caton-Jones,PG-13,6.9,1990,10-12-1990,107
985,Mr. Destiny,Jim Belushi,James Orr,Comedy,USA,James Orr,PG-13,6.3,1990,10-12-1990,110
986,"Welcome Home, Roxy Carmichael",Winona Ryder,Karen Leigh Hopkins,Comedy,UK,Jim Abrahams,PG-13,5.9,1990,10-12-1990,95
987,To Sleep with Anger,Danny Glover,Charles Burnett,Drama,USA,Charles Burnett,PG,7.2,1990,10-12-1990,102
988,Night of the Living Dead,Tony Todd,John A. Russo,Horror,USA,Tom Savini,R,6.9,1990,10-19-1990,92
989,Quigley Down Under,Tom Selleck,John Hill,Action,Australia,Simon Wincer,PG-13,6.8,1990,10-19-1990,119
990,Avalon,Aidan Quinn,Barry Levinson,Drama,USA,Barry Levinson,PG,7.3,1990,10-19-1990,128
991,The Hot Spot,Don Johnson,Charles Williams,Crime,USA,Dennis Hopper,R,6.4,1990,10-26-1990,130
992,Graveyard Shift,David Andrews,Stephen King,Horror,USA,Ralph S. Singleton,R,4.8,1990,10-26-1990,89
993,White Palace,Susan Sarandon,Glenn Savan,Drama,USA,Luis Mandoki,R,6.5,1990,10-26-1990,103
994,Sibling Rivalry,Kirstie Alley,Martha Goldhirsh,Comedy,USA,Carl Reiner,PG-13,5.4,1990,10-26-1990,87
995,Soultaker,Joe Estevez,Vivian Schilling,Fantasy,USA,Michael Rissi,R,2.3,1990,10-26-1990,94
996,Jacob's Ladder,Tim Robbins,Bruce Joel Rubin,Drama,USA,Adrian Lyne,R,7.5,1990,11-2-1990,113
997,Graffiti Bridge,Prince,Prince,Drama,USA,Prince,PG-13,4.3,1990,11-2-1990,95
998,Roger Corman's Frankenstein Unbound,John Hurt,Brian Aldiss,Drama,USA,Roger Corman,R,5.5,1990,11-2-1990,85
999,Tune in Tomorrow...,Barbara Hershey,Mario Vargas Llosa,Comedy,USA,Jon Amiel,PG-13,6.2,1990,11-2-1990,107
1000,China Cry: A True Story,Julia Nickson,Nora Lam,Biography,USA,James F. Collier,PG-13,7,1990,11-2-1990,101
1001,Waiting for the Light,Shirley MacLaine,Christopher Monger,Comedy,USA,Christopher Monger,PG,6,1990,11-2-1990,94
1002,The Unbelievable Truth,Adrienne Shelly,Action Features,Comedy,USA,Hal Hartley,R,7.5,1989,11-8-1990,90
1003,Child's Play 2,Alex Vincent,Don Mancini,Horror,USA,John Lafia,R,5.8,1990,11-9-1990,84
1004,The Krays,Gary Kemp,Philip Ridley,Biography,UK,Peter Medak,R,6.7,1990,11-9-1990,115
1005,Reversal of Fortune,Jeremy Irons,Alan M. Dershowitz,Biography,USA,Barbet Schroeder,R,7.3,1990,11-9-1990,111
1006,The Return of Superfly,Nathan Purdee,Anthony Wisdom,Action,USA,Sig Shore,R,5,1990,11-9-1990,95
1007,Europa Europa,Solomon Perel,Paul Hengge,Drama,Germany,Agnieszka Holland,R,7.7,1990,11-14-1990,112
1008,Home Alone,Macaulay Culkin,John Hughes,Comedy,USA,Chris Columbus,PG,7.5,1990,11-16-1990,103
1009,Rocky V,Sylvester Stallone,Sylvester Stallone,Drama,USA,John G. Avildsen,PG-13,5.2,1990,11-16-1990,104
1010,The Rescuers Down Under,Bob Newhart,Jim Cox,Animation,USA,Hendel Butoy,G,6.9,1990,11-16-1990,100
1011,Robot Jox,Gary Graham,Stuart Gordon,Action,USA,Stuart Gordon,PG,5.3,1989,11-21-1990,85
1012,Dances with Wolves,Kevin Costner,Michael Blake,Adventure,USA,Kevin Costner,PG-13,8,1990,11-21-1990,181
1013,Predator 2,Danny Glover,Jim Thomas,Action,USA,Stephen Hopkins,R,6.2,1990,11-21-1990,108
1014,3 Men and a Little Lady,Tom Selleck,Coline Serreau,Comedy,USA,Emile Ardolino,PG,5.3,1990,11-21-1990,104
1015,El príncipe Cascanueces,Kiefer Sutherland,E.T.A. Hoffmann,Animation,Canada,Paul Schibli,G,6.9,1990,11-21-1990,100
1016,Misery,James Caan,Stephen King,Crime,USA,Rob Reiner,R,7.8,1990,11-30-1990,107
1017,Cyrano de Bergerac,Gérard Depardieu,Edmond Rostand,Biography,France,Jean-Paul Rappeneau,PG,7.6,1990,12-1-1990,137
1018,The Rookie,Clint Eastwood,Boaz Yakin,Action,USA,Clint Eastwood,R,5.8,1990,12-7-1990,120
1019,The Sheltering Sky,Debra Winger,Paul Bowles,Adventure,UK,Bernardo Bertolucci,R,6.8,1990,12-12-1990,138
1020,Edward Scissorhands,Johnny Depp,Tim Burton,Drama,USA,Tim Burton,PG-13,7.9,1990,12-14-1990,105
1021,Mermaids,Cher,Patty Dann,Comedy,USA,Richard Benjamin,PG-13,6.6,1990,12-14-1990,110
1022,Look Who's Talking Too,John Travolta,Amy Heckerling,Comedy,USA,Amy Heckerling,PG-13,4.5,1990,12-14-1990,81
1023,Havana,Robert Redford,Judith Rascoe,Drama,USA,Sydney Pollack,R,6.1,1990,12-14-1990,144
1024,Days of Being Wild,Leslie Cheung,Jeffrey Lau,Crime,Hong Kong,Kar-Wai Wong,UNRATED,7.6,1990,12-15-1990,100
1025,Almost an Angel,Paul Hogan,Paul Hogan,Comedy,USA,John Cornell,PG,5.4,1990,12-19-1990,95
1026,Kindergarten Cop,Arnold Schwarzenegger,Murray Salem,Comedy,USA,Ivan Reitman,PG-13,6.1,1990,12-21-1990,111
1027,The Bonfire of the Vanities,Tom Hanks,Michael Cristofer,Comedy,USA,Brian De Palma,R,5.5,1990,12-21-1990,125
1028,The Russia House,Sean Connery,John le Carré,Drama,USA,Fred Schepisi,R,6.1,1990,12-21-1990,123
1029,The Godfather: Part III,Al Pacino,Mario Puzo,Crime,USA,Francis Ford Coppola,R,7.6,1990,12-25-1990,162
1030,Alice,Mia Farrow,Woody Allen,Comedy,USA,Woody Allen,PG-13,6.6,1990,1-10-1991,106
1031,Warlock,Julian Sands,David Twohy,Action,USA,Steve Miner,R,6.2,1989,1-11-1991,103
1032,Awakenings,Robert De Niro,Oliver Sacks,Biography,USA,Penny Marshall,PG-13,7.8,1990,1-11-1991,121
1033,Lionheart,Jean-Claude Van Damme,S.N. Warren,Action,USA,Sheldon Lettich,R,6.1,1990,1-11-1991,108
1034,Not Without My Daughter,Sally Field,Betty Mahmoody,Drama,USA,Brian Gilbert,PG-13,6.2,1991,1-11-1991,116
1035,Hamlet,Mel Gibson,William Shakespeare,Drama,USA,Franco Zeffirelli,PG,6.8,1990,1-18-1991,135
1036,Mr. & Mrs. Bridge,Paul Newman,Evan S. Connell,Drama,UK,James Ivory,PG-13,6.7,1990,1-18-1991,126
1037,Men of Respect,John Turturro,William Reilly,Drama,USA,William Reilly,R,5.3,1990,1-18-1991,113
1038,Taxi Blues,Pyotr Mamonov,Pavel Lungin,Comedy,Soviet Union,Pavel Lungin,Not specified,7.5,1990,1-18-1991,110
1039,White Fang,Ethan Hawke,Jack London,Adventure,USA,Randal Kleiser,PG,6.7,1991,1-18-1991,107
1040,Flight of the Intruder,Danny Glover,Stephen Coonts,Action,USA,John Milius,PG-13,5.7,1991,1-18-1991,115
1041,Eve of Destruction,Gregory Hines,Duncan Gibbins,Action,USA,Duncan Gibbins,R,4.8,1991,1-18-1991,99
1042,The Grifters,Anjelica Huston,Jim Thompson,Crime,USA,Stephen Frears,R,7,1990,1-25-1991,110
1043,Mediterraneo,Diego Abatantuono,Enzo Monteleone,Comedy,Italy,Gabriele Salvatores,R,7.4,1991,1-31-1991,96
1044,Green Card,Gérard Depardieu,Peter Weir,Comedy,France,Peter Weir,PG-13,6.2,1990,2-1-1991,103
1045,Book of Love,Chris Young,William Kotzwinkle,Comedy,USA,Robert Shaye,R,6.1,1990,2-1-1991,100
1046,Meet the Applegates,Ed Begley Jr.,Michael Lehmann,Comedy,USA,Michael Lehmann,R,5.4,1990,2-1-1991,90
1047,Popcorn,Jill Schoelen,Mitchell Smith,Comedy,USA,Mark Herrier,R,5.7,1991,2-1-1991,91
1048,Run,Patrick Dempsey,Dennis Shryack,Action,USA,Geoff Burrowes,R,6.1,1991,2-1-1991,91
1049,Once Around,Richard Dreyfuss,Malia Scotch Marmo,Comedy,USA,Lasse Hallström,R,6.5,1991,2-1-1991,115
1050,Queens Logic,Kevin Bacon,Tony Spiridakis,Comedy,USA,Steve Rash,R,5.9,1991,2-1-1991,100
1051,The NeverEnding Story II: The Next Chapter,Jonathan Brandis,Karin Howard,Adventure,USA,George Miller,PG,5.1,1990,2-8-1991,90
1052,Rosencrantz & Guildenstern Are Dead,Gary Oldman,Tom Stoppard,Comedy,UK,Tom Stoppard,PG,7.6,1990,2-8-1991,117
1053,Heaven and Earth,Takaaki Enoki,Haruki Kadokawa,Action,Japan,Haruki Kadokawa,PG-13,7.1,1990,2-8-1991,104
1054,Sleeping with the Enemy,Julia Roberts,Nancy Price,Drama,USA,Joseph Ruben,R,6.2,1991,2-8-1991,99
1055,L.A. Story,Steve Martin,Steve Martin,Comedy,USA,Mick Jackson,PG-13,6.7,1991,2-8-1991,95
